scope,lane_mask,ack_lane_mask,payload_len,payload_pattern,source_stage,source_evidence,sent_frames,rx_good,ack_seen,crc_bad,payload_mismatch,retry_count,max_latency_cycles,txd_high_consecutive_max_cycles,duty_window_violation,shutdown_status,status,reason
lane1,0x2,0x2,0,zero,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,ff,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,aa55,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,55aa,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,counter8,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,counter16,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,walking1,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,walking0,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,0,prbs15,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,zero,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,ff,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,aa55,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,55aa,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,counter8,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,counter16,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,walking1,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,walking0,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,1,prbs15,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,zero,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,ff,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,aa55,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,55aa,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,counter8,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,counter16,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,walking1,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,walking0,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,2,prbs15,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,zero,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,ff,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,aa55,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,55aa,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,counter8,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,counter16,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,walking1,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,walking0,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,3,prbs15,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,7,zero,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,7,ff,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,7,aa55,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,7,55aa,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,7,counter8,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,7,counter16,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane1,0x2,0x2,7,walking1,LANE1_ACK_RETRY_100,evidence/hardware/p5/protocol/lane1_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
