captured_ms|sequence|label|role|mailbox_main_state|mailbox_result_state|mailbox_result_status|p9_object_error|p9_tx_sequence_base|p9_window_status|p9_tx_retry_exhausted_count|p9_ack_frames_sent|p9_physical_ack_good|p9_physical_crc_bad|p9_physical_frame_bad|p9_physical_preamble|p9_physical_symbol_error|p10_5_context_status|p10_5_piggyback_ack_rx_count|p10_5_control_ack_fallback_count|p10_5_direction_reject_count|p10_5_role_epoch_reject_count|p10_5_tx_window_occupancy|p10_5_tx_ack_base|p10_5_rx_ack_base|p10_5_rx_sack_bitmap|p10_5_tx_peer_sack_bitmap|p10_5_tx_receiver_credit|p10_5_rx_receiver_credit|p10_5_tx_retry_count|p10_5_tx_timeout_count|p10_5_ack_tx_bytes|p10_5_ack_rx_bytes|p10_5_control_tx_bytes|p10_5_control_queue_occupancy
1788096765147|1009|fault_abort_f2r|fixed|3|4|0|0|262180|136314888|0|5|0|0|0|23267|0|9|6|0|0|0|32|16|20|0|0|32|32|0|0|168|140|22|1
1788096765147|1009|fault_abort_f2r|rotating|3|4|0|0|1441846|136314880|0|10|1|1|1|23371|43784|13|11|0|0|0|32|56|0|0|0|32|32|0|0|140|352|0|0
1788096765382|1009|fault_abort_f2r|fixed|3|4|0|0|0|134218282|0|277|0|0|0|23813|0|11|10|268|0|0|0|0|565|0|0|32|32|0|0|6174|140|6006|0
1788096765382|1009|fault_abort_f2r|rotating|3|4|0|0|37749344|136314880|0|10|267|1|1|23637|507330|13|11|0|0|0|32|588|0|0|0|32|32|0|0|140|6204|0|0
1788096765617|1009|fault_abort_f2r|fixed|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788096765617|1009|fault_abort_f2r|rotating|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788096765651|1009|fault_abort_f2r|fixed|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788096765651|1009|fault_abort_f2r|rotating|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788096768904|1011|fault_abort_r2f|fixed|3|4|0|0|32|136314892|0|6|0|0|0|4270|0|9|0|9|0|0|32|0|22|0|0|32|32|0|0|242|0|242|0
1788096768904|1011|fault_abort_r2f|rotating|3|4|0|0|0|134217754|0|11|11|0|0|4295|0|11|0|3|0|0|0|0|32|0|0|32|32|0|0|66|242|66|0
1788096769137|1011|fault_abort_r2f|fixed|3|4|0|0|26476980|136314880|0|11|32|1|1|4308|596457|13|0|11|0|0|32|404|0|0|0|32|32|8|8|242|726|242|0
1788096769137|1011|fault_abort_r2f|rotating|3|4|0|0|0|134218162|0|184|11|2|2|4711|0|11|0|40|0|0|0|0|446|0|0|32|32|0|0|880|242|902|1
1788096769371|1011|fault_abort_r2f|fixed|3|4|0|0|61866960|136314880|0|11|77|1|1|4353|1068361|13|0|11|0|0|32|956|0|0|0|32|32|8|8|242|1716|242|0
1788096769371|1011|fault_abort_r2f|rotating|3|4|0|0|0|134218702|0|409|11|2|2|5251|0|11|0|85|0|0|0|0|986|0|0|32|32|0|0|1870|242|1892|1
1788096769439|1011|fault_abort_r2f|fixed|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788096769439|1011|fault_abort_r2f|rotating|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
