scope,lane_mask,ack_lane_mask,payload_len,payload_pattern,source_stage,source_evidence,sent_frames,rx_good,ack_seen,crc_bad,payload_mismatch,retry_count,max_latency_cycles,txd_high_consecutive_max_cycles,duty_window_violation,shutdown_status,status,reason
two_lane,0x3,0x3,0,zero,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,ff,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,aa55,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,55aa,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,counter8,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,counter16,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,walking1,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,walking0,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,0,prbs15,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,1,zero,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
two_lane,0x3,0x3,1,ff,TWO_LANE_MINIMAL_100,evidence/hardware/p5/protocol/two_lane_minimal_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
